names	level	sas.name	class	qc.tests	restrictions	units	description	MMRF Source	DFCI_Source	DFCI2009_Source	UAMS_Source
CYTO_t_14_20_CONSENSUS	translocations	CYTO_t_14_20__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_MYC_CONSENSUS	translocations	CYTO_MYC_CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_amp_1q_CONSENSUS	translocations	CYTO_amp_1q__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_1qplus_CONSENSUS	translocations	CYTO_1qplus_CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_del_1p_CONSENSUS	translocations	CYTO_del_1p__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_del_1q_CONSENSUS	translocations	CYTO_del_1q__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_del_1p32_CONSENSUS	translocations	CYTO_del_1p32__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_del_16q_CONSENSUS	translocations	CYTO_del_16q__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_del_17_17p_CONSENSUS	translocations	CYTO_del_17_17p__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_del_11q_CONSENSUS	translocations	CYTO_del_11q__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_del_13q_CONSENSUS	translocations	CYTO_del_13q__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_Hyperdiploid_CONSENSUS	translocations	CYTO_Hyperdiploid_CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_Translocation_Consensus	translocations	CYTO_Translocation_Consensus	character	column_exists	4; 6; 8; 11; 16; 20		Abbreviated column for which consensus multiple myeloma related translocation is present. ERROR2 is given when more than one translocation is reported in an individual consensus field. 				
CYTO_Primary_Etiologic_Group	translocations	CYTO_PRIMARY_ETIOLOGIC_GROUP	numeric	column_exists	"1=""CCND1-11q13""; 2=""CCND3-6p21""; 3=""4p16, MMSET, t(4;14), FGFR3""; 4=""c-MAF with t(14;16), MAFB with t(14;20), MAFA with t(8;14)""; 5=""D1 (+HRD, no translocations)""; 6=""D1+D2""; 7=""D2 (+HRD, no translocations)""; 8=""none"""		Translocation category of clinically relevant structural changes.				
BI_GENE_Flag	biallelicinactivation		numeric		0=NoInactivation; 1=Inactivation		"The biallelic inactivation matrix contains binary indicators of whether both copies of a designated gene are inactivated. A zero indicates no inactivation and a 1 indicates a mutation, deletion or homozygous deletion. Columns are named BI_GENE_Flag where GENE is a given gene symbol. NOTES: variant allele frequencies are not considered. regions where there are 2 or more mutations in the same gene are not checked. this table only includes results for genes and valid samples from the copy number table. data generated by Cody Ashby TCAshby@uams.edu"				
CNV_GENE_ControlFreec	cnv		numeric		0=deletion; 1=loss; 2=normal; -2=loh; 3=gain; 4=amplification		"The copy number matrix contains integer status indicators correspond to gene-level copy number status. 0 is a homozygous deletion, 1 is a loss, 2 is normal, -2 is copy number neutral loss of heterozygosity, 3 is a gain, 4 is amplification. Column are named CNV_GENE_ControlFreec where GENE is the corresponding hg19 gene symbol. This table only includes samples passing a three step criteria for filtering: 1.) t-test on regions of relative chromosomal stability (chromosome 2 and 10). If neither of them are normal (CN=2) than the sample fails. 2.) Median of the standard deviations of the data points across all chromosomes. If higher than 0.3, than the sample fails. 3.) If there are more than 600 CN segments, then the sample fails. data generated by Cody Ashby TCAshby@uams.edu"				
RNA_ENSG0000000000X.YY 	rnaseq		numeric				The RNA-Seq expression matrix contains floating point values of normalized RNA gene expression. Column are named RNA_ENSG0000000000X.YY where ENSG0000000000X is the corresponding Ensembl gene identifier and associate .YY version. Data generated by Mehmet_Samur@DFCI.HARVARD.EDU				
SNV_GENE_BinaryConsensus	snv		numeric		0=no; 1=yes		"The SNV matrix contains binary indicators of whether a sample has any SNV/indel variants within a given gene. Zero values mean that gene does not contain any mutations, 1 it does. Columns are named SNV_GENE_BinaryConsensus where GENE is a given gene symbol. Individual variants were been previously filtered for various aspects to improve reliability. This binary table includes all variants (including silent mutations) listed on 20170213.snvsindels.filtered.metadata.ndmmonly.slim.txt which was generated by Chris Wardell CPWardell@uams.edu"				
